City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,6.26,83,10,1.11,GL,1691632182
1,bilibino,68.0546,166.4372,16.92,40,95,3.0,RU,1691632207
2,lihue,21.9789,-159.3672,31.58,67,75,9.77,US,1691632172
3,waitangi,-43.9535,-176.5597,11.01,76,5,2.68,NZ,1691632207
4,isafjordur,66.0755,-23.124,7.09,81,48,3.27,IS,1691632207
5,hamilton,39.1834,-84.5333,23.47,88,75,4.12,US,1691631875
6,port mathurin,-19.6833,63.4167,22.3,74,7,5.93,MU,1691631897
7,papatowai,-46.5619,169.4708,5.66,73,40,3.53,NZ,1691632189
8,anadyr,64.75,177.4833,13.28,66,75,5.0,RU,1691632208
9,adamstown,-25.066,-130.1015,19.28,58,95,9.49,PN,1691632208
10,el nido,11.1858,119.3956,28.8,78,53,6.27,PH,1691632208
11,badger,64.8,-147.5333,22.51,73,75,4.63,US,1691632150
12,boende,-0.2167,20.8667,21.94,95,93,1.22,CD,1691632209
13,talanga,14.4,-87.0833,27.3,65,97,1.52,HN,1691632209
14,west island,-12.1568,96.8225,25.99,78,75,6.17,CC,1691632142
15,lebu,-37.6167,-73.65,11.46,88,56,5.85,CL,1691631982
16,harbatpur,30.45,77.7333,26.81,86,92,0.61,IN,1691632210
17,kuta,-8.7233,115.1723,23.97,88,40,1.54,ID,1691632210
18,avarua,-21.2078,-159.775,25.03,65,75,7.72,CK,1691632210
19,ribeira grande,38.5167,-28.7,21.54,87,100,2.24,PT,1691632175
20,margaret river,-33.95,115.0667,11.08,83,100,1.48,AU,1691632188
21,edinburgh of the seven seas,-37.0676,-12.3116,10.71,53,69,11.07,SH,1691632211
22,atafu village,-8.5421,-172.5159,28.02,79,36,6.49,TK,1691632211
23,prado,-17.3411,-39.2208,21.6,75,1,3.01,BR,1691632205
24,saint-pierre,-21.3393,55.4781,20.32,64,40,4.12,RE,1691632211
25,ridgecrest,35.6225,-117.6709,36.92,23,75,7.15,US,1691632212
26,xuanzhou,30.9525,118.7553,29.87,69,74,1.98,CN,1691632212
27,port-aux-francais,-49.35,70.2167,3.38,84,100,10.57,TF,1691632143
28,grand baie,-20.0182,57.5802,21.92,69,0,1.79,MU,1691632212
29,fernie,49.5,-115.0687,19.05,92,85,1.86,CA,1691632212
30,aral,40.5156,81.2636,29.02,26,0,3.15,CN,1691632213
31,sisimiut,66.9395,-53.6735,4.78,90,100,3.6,GL,1691632213
32,port elizabeth,-33.918,25.5701,14.16,88,0,2.57,ZA,1691631996
33,carnarvon,-24.8667,113.6333,22.65,56,2,1.95,AU,1691632174
34,puerto natales,-51.7236,-72.4875,2.09,94,77,1.52,CL,1691632141
35,grytviken,-54.2811,-36.5092,-4.95,95,93,1.87,GS,1691632214
36,fale old settlement,-9.3852,-171.2468,28.02,79,25,7.03,TK,1691632181
37,ketchikan,55.3422,-131.6461,15.26,94,100,6.17,US,1691632214
38,sitka,57.0531,-135.33,15.94,82,100,5.14,US,1691632090
39,lorengau,-2.0226,147.2712,28.49,75,100,7.27,PG,1691632215
40,paredon,16.0333,-93.8667,28.04,78,60,1.91,MX,1691632215
41,abaete,-19.16,-45.4458,19.29,66,0,1.84,BR,1691632217
42,saipan,15.1355,145.701,29.39,100,0,4.12,MP,1691632140
43,bethel,41.3712,-73.414,25.17,71,0,2.57,US,1691632217
44,albany,42.6001,-73.9662,20.44,80,1,2.21,US,1691632217
45,al muwayh,22.4333,41.7583,27.4,30,75,3.0,SA,1691632218
46,kitimat,54.0524,-128.6534,17.17,72,100,3.13,CA,1691632218
47,port blair,11.6667,92.75,29.02,84,40,3.6,IN,1691632218
48,port-cartier,50.0334,-66.8654,14.3,96,100,5.83,CA,1691632218
49,san felipe,10.3399,-68.7425,24.18,89,12,1.67,VE,1691632218
50,thompson,55.7435,-97.8558,20.09,45,20,1.54,CA,1691632219
51,dudinka,69.4058,86.1778,13.68,63,100,9.5,RU,1691632219
52,cadale,2.7603,46.3222,24.35,86,43,7.24,SO,1691632219
53,shihezi,44.3,86.0333,27.44,37,0,3.0,CN,1691632219
54,kyren,51.6828,102.1408,15.45,95,100,0.42,RU,1691632220
55,viet tri,21.3019,105.4308,29.97,86,100,2.66,VN,1691632049
56,susuman,62.7833,148.1667,14.32,49,6,1.11,RU,1691632197
57,gogrial,8.5332,28.1004,21.46,95,84,1.42,SS,1691632220
58,durban,-29.8579,31.0292,11.51,79,37,1.9,ZA,1691632220
59,wailua homesteads,22.0669,-159.378,31.24,74,75,9.77,US,1691632221
60,tolanaro,-25.0319,46.9987,19.04,94,40,2.06,MG,1691632221
61,jamestown,42.097,-79.2353,20.8,68,0,2.06,US,1691632028
62,utrik,11.2278,169.8474,28.3,71,64,5.1,MH,1691632183
63,dryden,49.7833,-92.7503,14.16,77,75,3.09,CA,1691632221
64,iqaluit,63.7506,-68.5145,5.85,100,100,3.09,CA,1691632222
65,borogontsy,62.6683,131.1683,22.93,34,61,4.05,RU,1691632222
66,port lincoln,-34.7333,135.8667,14.52,56,32,3.86,AU,1691632222
67,bredasdorp,-34.5322,20.0403,9.88,89,1,1.76,ZA,1691632174
68,muscat,23.6139,58.5922,30.01,65,83,1.02,OM,1691631926
69,taulaga,-11.0553,-171.0883,27.97,79,76,6.77,AS,1691632104
70,blackmans bay,-43.0167,147.3167,14.07,76,99,2.89,AU,1691632223
71,punta arenas,-53.15,-70.9167,3.95,93,100,3.56,CL,1691632196
72,la ronge,55.1001,-105.2842,20.14,42,75,6.17,CA,1691632223
73,ulaangom,49.9811,92.0667,19.43,53,10,0.94,MN,1691632223
74,east london,-33.0153,27.9116,16.33,81,6,7.54,ZA,1691632117
75,sao joao da barra,-21.6403,-41.0511,21.4,85,93,4.99,BR,1691632224
76,longyearbyen,78.2186,15.6401,10.91,54,0,4.12,SJ,1691632224
77,kapuskasing,49.4169,-82.4331,19.05,72,75,1.54,CA,1691632224
78,al kharj,24.155,47.3346,31.32,10,0,3.15,SA,1691632225
79,ushuaia,-54.8,-68.3,4.81,75,40,1.03,AR,1691632148
80,daru,-9.0763,143.2092,24.49,83,100,6.86,PG,1691632225
81,palikir - national government center,6.9248,158.1611,30.47,79,100,2.06,FM,1691632207
82,hilo,19.7297,-155.09,29.04,75,75,3.6,US,1691632225
83,labuan bajo,-8.4964,119.8877,27.76,51,26,1.63,ID,1691632226
84,al hudaydah,14.7978,42.9545,30.23,68,80,2.66,YE,1691632226
85,hami,42.8,93.45,31.89,20,19,5.6,CN,1691632195
86,bokoro,12.3807,17.0568,22.8,91,100,2.28,TD,1691632226
87,malmberget,67.1753,20.6549,5.31,93,40,2.57,SE,1691632227
88,timimoun,29.2639,0.231,32.21,13,0,4.12,DZ,1691632227
89,cassilandia,-19.1133,-51.7342,23.15,28,0,1.52,BR,1691632227
90,polyarnyy,69.1989,33.4478,17.09,78,0,3.57,RU,1691632227
91,ust-nera,64.5667,143.2,20.73,45,6,1.5,RU,1691632228
92,kudat,6.8837,116.8477,30.96,70,20,3.6,MY,1691632228
93,invercargill,-46.4,168.35,6.68,74,22,2.24,NZ,1691632228
94,puerto ayora,-0.7393,-90.3518,24.19,91,37,2.68,EC,1691632228
95,fortuna,40.5982,-124.1573,20.52,83,75,5.14,US,1691632228
96,la passe,45.5549,-0.8967,23.13,61,21,2.57,FR,1691632229
97,hawaiian paradise park,19.5933,-154.9731,27.73,74,75,3.6,US,1691632191
98,gilgit,35.9221,74.3087,28.22,43,0,1.35,PK,1691632229
99,talnakh,69.4865,88.3972,13.45,56,100,2.11,RU,1691632158
100,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,53,40,2.0,RU,1691632229
101,awjilah,29.1081,21.2869,25.02,52,0,5.51,LY,1691632230
102,pandan,14.0453,124.1694,30.96,64,69,2.87,PH,1691632230
103,constantia,44.1833,28.65,18.38,71,65,6.57,RO,1691632230
104,smithers,54.7804,-127.1743,19.18,42,75,4.12,CA,1691632230
105,le muy,43.4738,6.5645,19.48,73,0,0.0,FR,1691632231
106,quellon,-43.1167,-73.6167,11.14,87,75,6.17,CL,1691632231
107,vredendal,-31.6683,18.5012,16.39,44,0,3.6,ZA,1691632231
108,vorgashor,67.5833,63.95,11.23,71,76,4.91,RU,1691632231
109,maxixe,-23.8597,35.3472,17.54,78,0,3.58,MZ,1691632232
110,yeed,4.55,43.0333,23.58,63,87,8.12,SO,1691632232
111,solleftea,63.1667,17.2667,12.92,96,41,1.29,SE,1691632232
112,kalundborg,55.6795,11.0886,13.86,75,9,10.28,DK,1691632232
113,thatta,24.7475,67.9235,27.95,77,100,8.88,PK,1691632233
114,illizi,26.4833,8.4667,26.89,15,0,3.63,DZ,1691632172
115,nuku'alofa,-21.1333,-175.2,24.19,83,75,3.6,TO,1691632233
116,hithadhoo,-0.6,73.0833,27.1,75,77,2.35,MV,1691632233
117,freeport,40.6576,-73.5832,27.21,53,0,5.66,US,1691632066
118,choyr,46.3611,108.3611,19.42,60,100,4.62,MN,1691632234
119,olonkinbyen,70.9221,-8.7187,6.58,98,100,3.64,SJ,1691632145
120,shortandy,51.7006,70.9994,20.69,45,100,3.69,KZ,1691632234
121,wanxian,30.8039,108.3897,31.77,72,0,2.12,CN,1691632234
122,nadym,65.5333,72.5167,8.7,75,100,10.54,RU,1691632234
123,ilulissat,69.2167,-51.1,5.01,100,100,3.09,GL,1691632149
124,aasiaat,68.7098,-52.8699,3.13,90,90,4.44,GL,1691632235
125,namdrik,5.5994,168.1028,28.39,70,100,2.71,MH,1691632235
126,ola,59.5833,151.2833,21.19,54,5,2.26,RU,1691632198
127,keflavik,64.0049,-22.5624,11.95,82,0,3.09,IS,1691632128
128,ghadamis,30.1337,9.5007,28.32,28,0,4.58,LY,1691632236
129,labuan,5.2767,115.2417,29.2,79,20,1.03,MY,1691632236
130,rio grande,-32.035,-52.0986,15.53,94,100,7.84,BR,1691632199
131,tura,25.5198,90.2201,25.2,94,100,1.0,IN,1691632236
132,quartu sant'elena,39.2419,9.1839,22.24,80,0,3.09,IT,1691632236
133,uturoa,-16.7333,-151.4333,24.94,71,81,8.02,PF,1691632237
134,salinopolis,-0.6136,-47.3561,25.87,85,49,5.31,BR,1691632237
135,bonthe,7.5264,-12.505,24.47,93,100,6.18,SL,1691632237
136,happy valley-goose bay,53.3168,-60.3315,16.17,82,100,2.06,CA,1691632237
137,san antonio de pale,-1.4014,5.6325,23.62,79,96,5.38,GQ,1691632237
138,butembo,0.15,29.2833,13.91,91,8,0.94,CD,1691632238
139,thunder bay,48.4001,-89.3168,18.99,59,75,5.14,CA,1691632214
140,alice springs,-23.7,133.8833,24.75,19,0,3.6,AU,1691632141
141,vadso,70.0744,29.7487,18.49,88,9,2.57,NO,1691632238
142,holualoa,19.6228,-155.9522,28.91,73,40,6.17,US,1691632159
143,flying fish cove,-10.4217,105.6791,25.82,73,40,6.17,CX,1691632239
144,stanley,54.868,-1.6985,16.55,91,20,1.03,GB,1691632239
145,bubaque,11.2833,-15.8333,26.61,83,100,2.63,GW,1691632053
146,gebeit,21.0667,36.3167,29.04,21,0,0.33,SD,1691632240
147,bignona,12.8103,-16.2264,26.02,83,100,2.05,SN,1691632240
148,motygino,58.1831,94.7592,16.69,82,100,1.72,RU,1691632241
149,celestun,20.8667,-90.4,28.6,79,56,6.67,MX,1691632241
150,ancud,-41.8697,-73.8203,9.74,89,100,7.26,CL,1691632242
151,kamaishi,39.2667,141.8833,27.9,76,22,6.79,JP,1691632242
152,tazovsky,67.4667,78.7,7.73,87,100,9.43,RU,1691632185
153,tiksi,71.6872,128.8694,20.98,39,37,3.07,RU,1691632166
154,nova sintra,14.8667,-24.7167,22.78,73,89,7.64,CV,1691632155
155,guangyuan,32.442,105.823,29.99,75,24,0.86,CN,1691632243
156,namibe,-15.1961,12.1522,15.93,90,20,3.83,AO,1691632243
157,rongelap,11.1635,166.8941,28.26,75,13,4.62,MH,1691632243
158,taoudenni,22.6783,-3.9836,36.59,27,30,5.46,ML,1691632243
159,mirpur sakro,24.5474,67.6277,27.76,79,100,8.94,PK,1691632244
160,santa cruz,-17.8,-63.1667,23.7,73,0,4.12,BO,1691632244
161,yellowknife,62.456,-114.3525,21.29,40,75,5.14,CA,1691632244
162,newman,37.3138,-121.0208,34.05,49,0,1.79,US,1691632140
